ID;Strain;NitrogenSource;CN_Ratio;DR
1;OKYL029;Urea;116;0.1
2;OKYL029;Urea;116;0.1
4;OKYL029;Urea;116;0.1
5;OKYL049;Urea;116;0.1
8;OKYL049;Urea;116;0.1
17;OKYL029;Ammonium Sulphate;3;0.1
19;OKYL029;Ammonium Sulphate;3;0.1
20;OKYL029;Ammonium Sulphate;3;0.1
21;OKYL049;Ammonium Sulphate;3;0.1
22;OKYL049;Ammonium Sulphate;3;0.1
23;OKYL049;Ammonium Sulphate;3;0.1
25;JFYL007;Ammonium Sulphate;3;0.1
27;JFYL007;Ammonium Sulphate;3;0.1
28;JFYL007;Ammonium Sulphate;3;0.1
30;OKYL049;Urea;3;0.1
31;OKYL049;Urea;3;0.1
32;OKYL049;Urea;3;0.1
33;OKYL029;Urea;3;0.1
35;OKYL029;Urea;3;0.1
36;OKYL029;Urea;3;0.1
37;JFYL007;Urea;3;0.1
38;JFYL007;Urea;3;0.1
40;JFYL007;Urea;3;0.1
41;JFYL007;Urea;116;0.1
43;JFYL007;Urea;116;0.1
44;JFYL007;Urea;116;0.1
60;JFYL007;Ammonium Sulphate;116;0.1
69;OKYL049;Ammonium Sulphate;116;0.1
70;OKYL049;Ammonium Sulphate;116;0.1
72;OKYL049;Ammonium Sulphate;116;0.1
75;JFYL007;Ammonium Sulphate;116;0.1
76;JFYL007;Ammonium Sulphate;116;0.1
77;JFYL007;Ammonium Sulphate;116;0.06
78;JFYL007;Ammonium Sulphate;116;0.06
79;JFYL007;Ammonium Sulphate;116;0.06
81;OKYL049;Ammonium Sulphate;116;0.06
82;OKYL049;Ammonium Sulphate;116;0.06
84;OKYL049;Ammonium Sulphate;116;0.06
85;OKYL029;Ammonium Sulphate;116;0.1
86;OKYL029;Ammonium Sulphate;116;0.1
88;OKYL029;Ammonium Sulphate;116;0.1
89;OKYL029;Ammonium Sulphate;116;0.06
91;OKYL029;Ammonium Sulphate;116;0.06
92;OKYL029;Ammonium Sulphate;116;0.06
6;OKYL049;Urea;116;0.1
